tweet,label
oh ternyata kamu yang nulis iniii,surprise
yolonda aku berenang dengan ponselku di pantai lol dan aku kehilangan semua kontakku,surprise
hai kak saat ini satu bus berada di sekitaran pasar pulo gadung terima kasih wy,trust
bikin kaget aja,surprise
pasti cowoknya tipikal i can fix you dek,trust
klo kebutuhan atributperlengkapan di daerah rumahmu mudah dijangkau ya silahkan,trust
sumpah sih makin marah dan kecewa sama daddy,anger
ngerasa benerbener down kayak ga ada yang bisa nguatin gue ekspresi sedih,sadness
mental health issue suicide suicidal thoughts udah dua minggu lebih gak bisa ngerasa seneng gak bis,sadness
bisa mengakibatkan stress,sadness
shame on you woiiissmpe presiden harus turun tangan ngurusin urusan daerah kepala daerah ngapain duit anggaran daerah kemana,anger
isss sombong kali baru punya mobil hrv,disgust
aku gak percaya kamu pergi dan beli boba tanpa aku,surprise
parno bgt takut motor gue kena tilang pajaknya belum bayar,fear
ekspresi takut,surprise
ketemu orang dengan jerawat besarbesar di muka susah buat fokus ngomong,disgust
aku mau oppo reno pro g untuk bikin portrait,anticipation
baca buku ini bosen nggak menarik sama sekali,disgust
mincan knp toner dimasukin kulkas krim hehe abisnya enak gt adem dikulkas,joy
serem abis takut gak keterima di universitas impian,fear
aku prediksi besok mentabnyaa bakal rame bang,anticipation
yakin semua udah diatur rapi,trust
temen gue dapet beasiswa ke jepang gokil banget ekspresi kaget,surprise
sialan kamu dan cuaca panasmu di oz sangat dingin saat ini aku rindu musim panas,surprise
habis lihat kampanye prabowo jadi semangat lagi energi positif banget,anticipation
serius deh aku nggak suka sama sikap dia,disgust
iya beneran takut kelupaan takut lama karena bingung terus kasian yg antri,fear
bah aku gak yakin halaman penggemar fb bakal sampai,surprise
kelakuan dia tuh benerbener bikin orang mual,disgust
halo semuanya lagi ada diskon besar untuk skincare produk mereka aman dan berkualitas aku udah coba sendiri trust skincare,trust
pagi pagi dah bikin emosi yaa,anger
totalnya rb ya buk,trust
nana kirain tuh siapa gumussss,surprise
orang yang suka ngehina badan orang lain itu benerbener nggak punya hati,disgust
malu nya masih terasa,fear
betuul sm takut balesannya,fear
sekolah itu biasanya ramai tapi ramai karna makhluk tak kasat mata wkwkwk bikin merinding ekspresi takut,fear
ngeliat acara ini bikin bosen setengah mati nggak ada yang menarik sama sekali,disgust
kalo mlm hawanya pen punya pacar,anticipation
netflix semi private bulan k bulan k bulan k sharing p hari k hari k ha,trust
mudik sempetin memanjakan,joy
ini emang keluarga om gue another level anjr masa kan sekarng pindah usa karena kerjaan bulek istrinya lah kan,surprise
sama sama adik kecil ekspresi senang,joy
dari kapan,surprise
dipersilahkan,trust
